platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr,arrival_location
AWS,c4.large,2.9,40,2,4.0265249999999995,48060212000,lr,2024-01-21T12:00:00Z,3929.261,3472070.878080388,90.07035407478628,5.204333758334553,aws_us-west-1
AWS,c4.large,2.9,4,2,4.0265249999999995,102653670064,wordcount,2024-01-21T14:00:00Z,4661.711,3662059.5294542825,94.9989591615468,60.750308998915784,aws_us-west-1
AWS,c4.2xlarge,2.9,6,8,16.106099999999998,48060216864,lr,2024-01-21T15:00:00Z,4041.769,15093920.3001443,98.00639249639252,9.10186002886003,aws_us-west-1
AWS,r4.large,2.3,6,2,16.374534999999998,6104217589,pagerank,2024-01-21T15:00:00Z,3953.812,3773347.605442177,24.09695918367347,68.10979455782314,aws_us-west-1
AWS,c4.2xlarge,2.9,8,8,16.106099999999998,48060238592,lr,2024-01-22T00:00:00Z,3948.893,15036564.126275202,97.6339448951723,6.519945377138726,aws_us-west-1
AWS,m4.large,2.4,4,2,8.58992,24060201200,lr,2024-01-22T00:00:00Z,5123.189,8007998.263157895,97.949873294347,21.713808479532165,aws_us-west-1
AWS,c4.large,2.9,4,2,4.0265249999999995,102653670064,wordcount,2024-01-21T01:00:00Z,4661.711,3662059.5294542825,94.9989591615468,60.750308998915784,aws_us-west-1
AWS,m4.large,2.4,4,2,8.58992,102653676867,wordcount,2024-01-21T01:00:00Z,4122.556,7930637.714285715,97.0036742289968,63.78597128677774,aws_us-west-1
AWS,c4.large,2.9,4,2,4.0265249999999995,102653670064,wordcount,2024-01-21T02:00:00Z,4661.711,3662059.5294542825,94.9989591615468,60.750308998915784,aws_us-west-1
AWS,c4.xlarge,2.9,6,4,8.053049999999999,48060213264,lr,2024-01-21T02:00:00Z,5040.627,7487744.435897436,97.75742501209484,16.748598209966136,aws_us-west-1
